Ações por Índice;;;
Dados de 5 a 8 de 2026;;;
Empresa;Sigla;Código;
3M;DRN;MMMC34.SA;BDRX
3TENTOS;ON   NM;TTEN3.SA;AGFS,IBRA,ICO2,ICON,IGCT,IGCX,IGNM,ISEE,ITAG,SMLL
ABBVIE;DRN;ABBV34.SA;BDRX
ABC BRASIL;PN   N2;ABCB4.SA;IBRA,ICO2,IDIV,IDVR,IFNC,IGCT,IGCX,ITAG,SMLL
ADOBE INC;DRN;ADBE34.SA;BDRX
ADVANCE AUTO;DRN;A1AP34.SA;BDRX
ADVANCED MIC;DRN;A1MD34.SA;BDRX
AERIS;ON   NM;AERI3.SA;IGCX,IGNM,ITAG
AIRBNB;DRN;AIRB34.SA;BDRX
ALBEMARLE CO;DRN;A1LB34.SA;BDRX
ALIBABAGR;DRN;BABA34.SA;BDRX
ALLIAR;ON   NM;AALR3.SA;ITAG
ALLIED;ON   NM;ALLD3.SA;IGCX,IGNM,ITAG
ALLOS;ON   NM;ALOS3.SA;IBBC,IBBE,IBBR,IBEP,IBEW,IBLV,IBOV,IBRA,IBXL,IBXX,ICO2,IDIV,IDVR,IGCT,IGCX,IGNM,IMOB,ISEE,ITAG,IVBX,SMLL
ALPARGATAS;ON   N1;ALPA3.SA;IGCX
ALPARGATAS;PN   N1;ALPA4.SA;IBRA,ICON,IGCT,IGCX,INDX,SMLL
ALPHABET;DRN;GOGL34.SA;BDRX
ALPHABET;DRN;GOGL35.SA;BDRX
ALUPAR;UNT  N2;ALUP11.SA;IBRA,IEEX,IGCT,IGCX,ITAG,SMLL,UTIL
AMAZON;DRN;AMZO34.SA;BDRX
AMBEV S/A;ON;ABEV3.SA;AGFS,IBBC,IBBE,IBBR,IBEP,IBEW,IBLV,IBOV,IBRA,IBXL,IBXX,ICO2,ICON,IDVR,INDX,MLCX
AMERICAN AIR;DRN;AALL34.SA;BDRX
AMERICAN EXP;DRN;AXPB34.SA;BDRX
AMERICAN TOW;DRN;T1OW34.SA;BDRX
ANIMA;ON   NM;ANIM3.SA;IBRA,IBXX,ICON,IDVR,IGCT,IGCX,IGNM,ITAG,SMLL
APPLE;DRN;AAPL34.SA;BDRX
APPLIED MATE;DRN;A1MT34.SA;BDRX
ARCELOR;DRN;ARMT34.SA;BDRX
ARISTA NETWO;DRN;A1NE34.SA;BDRX
ARMAC;ON   NM;ARML3.SA;AGFS,IBRA,IGCT,IGCX,IGNM,ITAG,SMLL
ASML HOLD;DRN;ASML34.SA;BDRX
ASSAI;ON   NM;ASAI3.SA;AGFS,GPTW,IBBC,IBBE,IBBR,IBEP,IBEW,IBHB,IBOV,IBRA,IBXL,IBXX,ICO2,ICON,IDVR,IGCT,IGCX,IGNM,ISEE,ITAG,IVBX,SMLL
ASTRAZENECA;DRN;A1ZN34.SA;BDRX
ATT INC;DRN;ATTB34.SA;BDRX
AUREN;ON   NM;AURE3.SA;IBBC,IBBE,IBBR,IBEP,IBEW,IBOV,IBRA,IBXX,ICO2,IEEX,IGCT,IGCX,IGNM,ISEE,ITAG,SMLL,UTIL
AUTOMOB;ON   NM;AMOB3.SA;IGCX,IGNM,ITAG
AXIA ENERGIA;ON   N1;AXIA3.SA;IBBC,IBBE,IBBR,IBEP,IBEW,IBOV,IBRA,IBXL,IBXX,IDVR,IEEX,IGCT,IGCX,ISEE,ITAG,MLCX,UTIL
AXIA ENERGIA;PNB  N1;AXIA6.SA;IBBC,IBBE,IBBR,IBEP,IBEW,IBOV,IBRA,IBXX,IDIV,IDVR,IEEX,IGCT,IGCX,ITAG,MLCX,UTIL
AXIA ENERGIA;PNC  N1;AXIA7.SA;ITAG
AZZAS 2154;ON   NM;AZZA3.SA;IBBC,IBBE,IBBR,IBEP,IBEW,IBOV,IBRA,IBXX,ICO2,ICON,IGCT,IGCX,IGNM,ISEE,ITAG,IVBX,SMLL
